"Data collected and analyzed for the article, ""Reference Rot in the Digital Humanities Literature: An Analysis of Citations Containing Website Links in DHQ,"" by Zach Coble and Jojo Karlin. Available under a Creative Commons Attribution-NonCommercial 4.0 International (CC BY-NC 4.0) license; https://creativecommons.org/licenses/by-nc/4.0/.",,,,,,,,
,,,,,,,,
article_URL,article_pubDate,article_authorLN,article_authorFN,article_title,article_publication,link_citation,link_URL,link_status
http://digitalhumanities.org/dhq/vol/1/1/000007/000007.html,2007,Flanders,Julia,Welcome to Digital Humanities Quarterly,DHQ,,,
http://digitalhumanities.org/dhq/vol/1/1/000003/000003.html,2007,VandeCreek,Drew,"“Webs of Significance”: The Abraham Lincoln Historical Digitization Project, New Technology, and the Democratization of History",DHQ,About: American History. http://americanhistory.about.com.,http://americanhistory.about.com,"redirected, page/site different"
http://digitalhumanities.org/dhq/vol/1/1/000003/000003.html,2007,VandeCreek,Drew,"“Webs of Significance”: The Abraham Lincoln Historical Digitization Project, New Technology, and the Democratization of History",DHQ,About.com. About.com. http://www.about.com,http://www.about.com,"redirected, page/site different"
http://digitalhumanities.org/dhq/vol/1/1/000003/000003.html,2007,VandeCreek,Drew,"“Webs of Significance”: The Abraham Lincoln Historical Digitization Project, New Technology, and the Democratization of History",DHQ,"Ayers, Edward L. The Pasts and Futures of Digital History. 1999. http://www.vcdh.virginia.edu/PastsFutures.html",http://www.vcdh.virginia.edu/PastsFutures.html,page exists
http://digitalhumanities.org/dhq/vol/1/1/000003/000003.html,2007,VandeCreek,Drew,"“Webs of Significance”: The Abraham Lincoln Historical Digitization Project, New Technology, and the Democratization of History",DHQ,"The HistoryNet.com. Weider History Group, 2006. http://historynet.com",http://historynet.com,page exists
http://digitalhumanities.org/dhq/vol/1/1/000003/000003.html,2007,VandeCreek,Drew,"“Webs of Significance”: The Abraham Lincoln Historical Digitization Project, New Technology, and the Democratization of History",DHQ,"Mabry, Donald. Historical Text Archive. http://historicaltextarchive.com",http://historicaltextarchive.com,page exists
http://digitalhumanities.org/dhq/vol/1/1/000003/000003.html,2007,VandeCreek,Drew,"“Webs of Significance”: The Abraham Lincoln Historical Digitization Project, New Technology, and the Democratization of History",DHQ,"Oxford English Dictionary. Oxford English Dictionary Online. Ripon: Lane Library, 1989. http://www.oed.com/",http://www.oed.com/,page exists
http://digitalhumanities.org/dhq/vol/1/1/000003/000003.html,2007,VandeCreek,Drew,"“Webs of Significance”: The Abraham Lincoln Historical Digitization Project, New Technology, and the Democratization of History",DHQ,Public History Resource Center. Evaluating Web Sites. http://www.publichistory.org/evaluation/index2.html,http://www.publichistory.org/evaluation/index2.html,"page doesn't exist, site doesn't exist"
http://digitalhumanities.org/dhq/vol/1/1/000003/000003.html,2007,VandeCreek,Drew,"“Webs of Significance”: The Abraham Lincoln Historical Digitization Project, New Technology, and the Democratization of History",DHQ,"Thomas, William G. Remarks at the Presidential Sites and Libraries Conference at the George Bush Presidential Library, College Station, Texas. Virginia Center for Digital History, 1999. http://www2.vcdh.virginia.edu/presidential.html",http://www2.vcdh.virginia.edu/presidential.html,page exists
http://digitalhumanities.org/dhq/vol/1/1/000005/000005.html,2007,Wolff,Mark,Reading Potential: The Oulipo and the Meaning of Algorithms,DHQ,"Braffort, Paul. ALAMO: Atelier de Littérature Assistée par la Mathématique et les Ordinateurs. Last accessed 17 September 2006. http://alamo.mshparisnord.net/presentation/index.html",http://alamo.mshparisnord.net/presentation/index.html,"page doesn't exist, site doesn't exist"
http://digitalhumanities.org/dhq/vol/1/1/000005/000005.html,2007,Wolff,Mark,Reading Potential: The Oulipo and the Meaning of Algorithms,DHQ,"Schmid, Helmut. TreeTagger: a language independent part-of-speech tagger. Institute for Natural Language Processing, University of Stuttgart, 2006. http://www.ims.uni-stuttgart.de/projekte/corplex/TreeTagger/DecisionTreeTagger.html",http://www.ims.uni-stuttgart.de/projekte/corplex/TreeTagger/DecisionTreeTagger.html,page exists
http://digitalhumanities.org/dhq/vol/1/1/000006/000006.html,2007,Raben,Joseph,"Tenure, Promotion and Digital Publication",DHQ,,,
http://digitalhumanities.org/dhq/vol/1/2/000013/000013.html,2007,Terras,Melissa,DHQ in the Public Eye,DHQ,,,
http://digitalhumanities.org/dhq/vol/1/2/000010/000010.html,2007,Eve,Eric,All Hope Abandon: Biblical Text and Interactive Fiction,DHQ,"Anderson, Craig. The Tower of the Elephant. Video Game, 2006. http://www.wurb.com/if/game/2955",http://www.wurb.com/if/game/2955,"page doesn't exist, site exists"
http://digitalhumanities.org/dhq/vol/1/2/000010/000010.html,2007,Eve,Eric,All Hope Abandon: Biblical Text and Interactive Fiction,DHQ,"Bates, Bob. Designing the Puzzle. 1997. http://www.scottkim.com/thinkinggames/GDC00/bates.html",http://www.scottkim.com/thinkinggames/GDC00/bates.html,"page doesn't exist, site exists"
http://digitalhumanities.org/dhq/vol/1/2/000010/000010.html,2007,Eve,Eric,All Hope Abandon: Biblical Text and Interactive Fiction,DHQ,Brass Lantern. Brass Lantern. 2007. http://brasslantern.org/,http://brasslantern.org/,page exists
http://digitalhumanities.org/dhq/vol/1/2/000010/000010.html,2007,Eve,Eric,All Hope Abandon: Biblical Text and Interactive Fiction,DHQ,"Coyne, Michael. Laconic Locations. 2003. http://www.mts.net/~coyne/foibles.html#locats",mts.net/~coyne/foibles.html#locats,"page doesn't exist, site doesn't exist"
http://digitalhumanities.org/dhq/vol/1/2/000010/000010.html,2007,Eve,Eric,All Hope Abandon: Biblical Text and Interactive Fiction,DHQ,"Dollahite, Damian. [GOTW]: All Hope Abandon. Google, 2005. https://groups.google.com/forum/#!topic/rec.games.int-fiction/0usWaSB9SlE",https://groups.google.com/forum/#!topic/rec.games.int-fiction/0usWaSB9SlE,page exists
http://digitalhumanities.org/dhq/vol/1/2/000010/000010.html,2007,Eve,Eric,All Hope Abandon: Biblical Text and Interactive Fiction,DHQ,"Firth, Roger. Cloak of Darkness. 2007. http://www.firthworks.com/roger/cloak/index.html",http://www.firthworks.com/roger/cloak/index.html,page exists
http://digitalhumanities.org/dhq/vol/1/2/000010/000010.html,2007,Eve,Eric,All Hope Abandon: Biblical Text and Interactive Fiction,DHQ,"Granade, Stephen. Descriptions Constructed. 1997-2007. Brass Lantern, 2007. http://brasslantern.org/writers/iftheory/descriptions.html",http://brasslantern.org/writers/iftheory/descriptions.html,page exists
http://digitalhumanities.org/dhq/vol/1/2/000010/000010.html,2007,Eve,Eric,All Hope Abandon: Biblical Text and Interactive Fiction,DHQ,"Jasper, Pete. Review of Rune Berg's The Isle of The Cult. 2005. http://www.ifreviews.org/index.php?analise=2",http://www.ifreviews.org/index.php?analise=2,page exists
http://digitalhumanities.org/dhq/vol/1/2/000010/000010.html,2007,Eve,Eric,All Hope Abandon: Biblical Text and Interactive Fiction,DHQ,"Jerz, Dennis. What is Interactive Fiction? 2000. http://jerz.setonhill.edu/if/intro.htm",http://jerz.setonhill.edu/if/intro.htm,page exists
